id,title,link,rating,reviews,guests,bedrooms,beds,baths,years_hosting,price_original,price_discount,nights,total_nights,special_offer,cleaning_fee,service_fee,total
51,,https://www.airbnb.com/rooms/27734138?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3-zhimDj9bK97qG&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.89,56,2,1,1,1,7,77,77,4,316,0,15,45,367
52,,https://www.airbnb.com/rooms/782603095806905151?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3agV8D8bbfVucOY&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.85,48,4,2,3,1.5,7,116,116,4,476,0,19,68,549
53,,https://www.airbnb.com/rooms/785375984995807693?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3pUeTbNNHHIChyV&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.84,69,4,2,3,1.5,7,116,116,4,478,0,19,68,551
54,,https://www.airbnb.com/rooms/1241428554132125409?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3KryCzQWrwUzZf0&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.75,4,2,1,1,2,0,100,100,4,400,0,18,59,477
55,,https://www.airbnb.com/rooms/21263215?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3KGPXFcTVTYpJVt&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.82,82,2,1,1,1.5,7,76,76,4,312,0,15,45,363
56,,https://www.airbnb.com/rooms/40277662?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3tk-AfCUEPjsWNu&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.77,31,3,No disponible,1,1,8,97,97,4,388,0,14,57,459
57,,https://www.airbnb.com/rooms/1164603553427945496?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3s7n7daStBnW5ct&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.8,5,2,1,1,1.5,7,4,4,4,20,0,0,2,22
58,,https://www.airbnb.com/rooms/1095666482544498428?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3hpYfcrZme3ED5X&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.88,8,2,1,1,1,0,188,160,4,640,0,10,92,742
59,,https://www.airbnb.com/rooms/1077687996764924499?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3_ADIs4C_nQK8SM&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,4.0,4,2,1,1,1.5,10,320,320,4,1,0,40,186,1
60,,https://www.airbnb.com/rooms/1057282185349916333?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099603_P3FLMbiuPQp2tLsM&previous_page_section_name=1000&federated_search_id=633ef1b8-de66-48a4-8a4c-8938d8ef62b4,0,0,2,1,1,1,7,120,96,4,480,-96,0,54,438
61,,https://www.airbnb.com/rooms/599198557658593756?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099610_P3DtRa-2XqZolTZO&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,4.96,103,2,No disponible,1,1,5,53,53,4,216,-5,23,33,267
62,,https://www.airbnb.com/rooms/1247355129761838145?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099610_P37zy1VOzFdKnnD_&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,4.8,10,2,No disponible,1,1,0,49,49,4,197,0,25,31,253
63,,https://www.airbnb.com/rooms/884091806947081877?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099610_P3BYcZv5yEMntun0&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,4.96,75,2,1,1,1.5,7,92,92,4,377,0,18,54,438
64,,https://www.airbnb.com/rooms/837547261289676048?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099610_P3B1EmD-7l6GGplm&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,4.92,74,2,1,2,1.5,5,108,89,4,356,0,62,59,477
65,,https://www.airbnb.com/rooms/1240044835794129671?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099610_P3hFTWTnXjQyX-P2&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,5.0,11,2,1,1,1,5,119,119,4,476,0,40,73,589
66,,https://www.airbnb.com/rooms/1002350439705941642?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099610_P36Uv_EGs5Emc3qN&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,4.94,17,2,1,1,1.5,0,60,60,4,240,0,25,37,302
67,,https://www.airbnb.com/rooms/1287648805918409782?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-10&check_out=2025-01-14&source_impression_id=p3_1736099612_P39xAtZaR6CSI4TN&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,5.0,5,3,2,2,1.5,4,128,99,4,396,0,20,0,416
68,,https://www.airbnb.com/rooms/45466765?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-10&check_out=2025-01-13&source_impression_id=p3_1736099612_P3mJjV0oh8j_tioO&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,4.98,246,2,1,1,1,5,103,103,3,335,0,40,49,397
69,,https://www.airbnb.com/rooms/1257119606791639017?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-10&check_out=2025-01-14&source_impression_id=p3_1736099612_P3M2vvv8TjrKfTQi&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,5.0,3,2,1,1,1,7,126,126,4,530,0,25,75,603
70,,https://www.airbnb.com/rooms/35645735?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-14&source_impression_id=p3_1736099612_P3l8bKUYm_T5EG3g&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,4.79,58,3,1,2,1,6,65,65,6,390,0,30,59,479
71,,https://www.airbnb.com/rooms/870461890187442376?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-06&check_out=2025-01-10&source_impression_id=p3_1736099612_P3pVguKunqdc3Mk_&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,4.94,33,2,1,1,1.5,5,149,129,4,516,0,40,78,634
72,,https://www.airbnb.com/rooms/27721261?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-07&check_out=2025-01-12&source_impression_id=p3_1736099612_P3HJakPFxIOpZYB8&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,4.95,80,4,2,2,2,6,149,131,5,655,0,40,98,793
73,,https://www.airbnb.com/rooms/32725989?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099610_P3X8kBZXdn7mDEWh&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,4.97,62,3,1,1,1.5,3,80,72,4,320,-32,30,45,363
74,,https://www.airbnb.com/rooms/838469018798462079?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099610_P3ud-11QMBGyqv4L&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,4.9,104,4,2,2,2.5,2,110,93,4,370,0,48,59,477
75,,https://www.airbnb.com/rooms/1050145939060036792?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099610_P3IyUPlwYONwlNDj&previous_page_section_name=1000&federated_search_id=ed6d3d08-c485-49a3-811f-90669a29d904,4.89,35,2,1,1,1.5,6,137,92,4,366,0,50,59,475
